Dose,WT,CLint,KbBR,KbMU,KbBO,KbAD,KbRB,id_ref,id
25.0,94.3,1486.4682388797937,7.525027317205321,2.9538724019626432,0.8437954401533483,12.58044788055617,2.4486985128185608,793,e3e70682-c209-4cac-a29f-6fbed82c07cd
25.0,80.4,1646.7336166632908,7.525027317205321,2.9538724019626432,0.8437954401533483,12.58044788055617,2.4486985128185608,794,f728b4fa-4248-4e3a-8a5d-2f346baa9455
25.0,71.8,1685.8026747765848,7.525027317205321,2.9538724019626432,0.8437954401533483,12.58044788055617,2.4486985128185608,795,eb1167b3-67a9-4378-bc65-c1e582e2e662
25.0,77.4,1689.2098577542765,7.525027317205321,2.9538724019626432,0.8437954401533483,12.58044788055617,2.4486985128185608,796,f7c1bd87-4da5-4709-9471-3d60c8a70639
25.0,64.3,1914.4103878563644,7.525027317205321,2.9538724019626432,0.8437954401533483,12.58044788055617,2.4486985128185608,797,e443df78-9558-467f-9ba9-1faf7a024204
25.0,74.1,1720.056526681007,7.525027317205321,2.9538724019626432,0.8437954401533483,12.58044788055617,2.4486985128185608,798,23a7711a-8133-4876-b7eb-dcd9e87a1613
25.0,87.9,1757.8894995626356,7.525027317205321,2.9538724019626432,0.8437954401533483,12.58044788055617,2.4486985128185608,799,1846d424-c17c-4279-a3c6-612f48268673
25.0,61.9,1798.1318775160482,7.525027317205321,2.9538724019626432,0.8437954401533483,12.58044788055617,2.4486985128185608,800,fcbd04c3-4021-4ef7-8ca5-a5a19e4d6e3c
25.0,65.3,1749.0338421605354,7.525027317205321,2.9538724019626432,0.8437954401533483,12.58044788055617,2.4486985128185608,801,b4862b21-fb97-4435-8856-1712e8e5216a
25.0,103.5,1741.8048618803757,7.525027317205321,2.9538724019626432,0.8437954401533483,12.58044788055617,2.4486985128185608,802,259f4329-e6f4-490b-9a16-4106cf6a659e
25.0,83.0,1972.747843890217,7.525027317205321,2.9538724019626432,0.8437954401533483,12.58044788055617,2.4486985128185608,803,12e0c8b2-bad6-40fb-9948-8dec4f65d4d9
25.0,68.7,2018.5942414209026,7.525027317205321,2.9538724019626432,0.8437954401533483,12.58044788055617,2.4486985128185608,804,5487ce1e-af19-422a-99b8-a714e61a441c
37.5,64.4,1822.7679548818192,7.525027317205321,2.9538724019626432,0.8437954401533483,12.58044788055617,2.4486985128185608,805,5a921187-19c7-4df4-8f4f-f31e78de5857
