bin,quantile,q_obs,pred_median,pred_lower,pred_upper,bin_center,output_name,model
0,0.05,3.6459686820012203,3.8750718171995744,3.8411846092878856,3.888960141537598,2700.0,logC15,Sbml
0,0.5,5.438079308923196,5.328317916418694,5.321448246802853,5.3365115626826185,2700.0,logC15,Sbml
0,0.95,6.572560113643599,9.49945447120542,9.49945447120542,9.49945447120542,2700.0,logC15,Sbml
1,0.05,2.609329038452749,2.880440364163167,2.8539864888954667,2.90556292177099,26429.399999999998,logC15,Sbml
1,0.5,3.453152113357411,3.472835565890189,3.4535779022378614,3.489050490440077,26429.399999999998,logC15,Sbml
1,0.95,4.31811749364085,4.0930820069644165,4.069544288882696,4.139973923311648,26429.399999999998,logC15,Sbml
2,0.05,2.1605353660126787,2.3126786612567427,2.28170522200351,2.3349919418926546,44100.0,logC15,Sbml
2,0.5,2.901406499059578,2.8030261780438543,2.7695537567196737,2.835780060068363,44100.0,logC15,Sbml
2,0.95,3.865348936855167,3.3499057613461822,3.313933215398354,3.414382700896461,44100.0,logC15,Sbml
5,0.05,1.0623568955492988,1.4807645158720655,1.446134297307022,1.5133855353562602,87120.0,logC15,Sbml
5,0.5,1.9671123567059163,2.014169479039868,1.9849364187217495,2.04083132747661,87120.0,logC15,Sbml
5,0.95,3.1436546799655876,2.57950193076937,2.5338956116513462,2.644043840034202,87120.0,logC15,Sbml
7,0.05,0.9527230478994568,0.8531386736914452,0.7874794539536324,1.0207403717593193,130201.2,logC15,Sbml
7,0.5,1.6467336971777973,1.480372504916324,1.3636945166961085,1.581456607999156,130201.2,logC15,Sbml
7,0.95,2.298486418573272,2.0559785959852914,1.86756961310458,2.151674224050286,130201.2,logC15,Sbml
9,0.05,0.738095915223126,0.3819307661158887,0.30085961188855664,0.44919622713320706,173401.2,logC15,Sbml
9,0.5,1.3737155789130306,0.954091973205611,0.8261041755426044,1.065626872003099,173401.2,logC15,Sbml
9,0.95,1.5793173416712945,1.4803404494640635,1.3110192988271692,1.5975660449632039,173401.2,logC15,Sbml
